source,result,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:BP,,cellular response to type I interferon,GO:0071357,3.69E-36,35.43253629,95,146,29,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000119917,ENSG00000130303,ENSG00000185745,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000204592,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000185507,ENSG00000135114,ENSG00000068079,ENSG00000160710,ENSG00000170581,ENSG00000184979,ENSG00000101347,ENSG00000067066,ENSG00000124256"
GO:BP,,immune response,GO:0006955,3.69E-36,35.43253629,2326,146,85,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000121858,ENSG00000119917,ENSG00000130303,ENSG00000110492,ENSG00000185745,ENSG00000125148,ENSG00000019582,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000137959,ENSG00000204592,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000173193,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000132274,ENSG00000185507,ENSG00000100911,ENSG00000135114,ENSG00000125730,ENSG00000057149,ENSG00000068079,ENSG00000107201,ENSG00000196126,ENSG00000170345,ENSG00000115267,ENSG00000137965,ENSG00000078081,ENSG00000149131,ENSG00000055332,ENSG00000240065,ENSG00000138646,ENSG00000138496,ENSG00000137628,ENSG00000243649,ENSG00000179344,ENSG00000160710,ENSG00000170581,ENSG00000177606,ENSG00000163739,ENSG00000184979,ENSG00000101347,ENSG00000205420,ENSG00000067066,ENSG00000162654,ENSG00000198502,ENSG00000231389,ENSG00000133710,ENSG00000204287,ENSG00000123240,ENSG00000130813,ENSG00000168394,ENSG00000117228,ENSG00000169429,ENSG00000004468,ENSG00000173432,ENSG00000100342,ENSG00000013374,ENSG00000128383,ENSG00000163840,ENSG00000197903,ENSG00000143546,ENSG00000102524,ENSG00000131203,ENSG00000006210,ENSG00000123609,ENSG00000089692,ENSG00000152778,ENSG00000124256,ENSG00000140464,ENSG00000110446,ENSG00000173702,ENSG00000112343"
GO:BP,T,type I interferon signaling pathway,GO:0060337,3.69E-36,35.43253629,95,146,29,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000119917,ENSG00000130303,ENSG00000185745,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000204592,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000185507,ENSG00000135114,ENSG00000068079,ENSG00000160710,ENSG00000170581,ENSG00000184979,ENSG00000101347,ENSG00000067066,ENSG00000124256"
GO:BP,,response to virus,GO:0009615,6.80E-36,35.16780749,364,146,43,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000119917,ENSG00000130303,ENSG00000185745,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000137959,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000132274,ENSG00000185507,ENSG00000135114,ENSG00000107201,ENSG00000115267,ENSG00000137965,ENSG00000055332,ENSG00000138646,ENSG00000138496,ENSG00000137628,ENSG00000140279,ENSG00000136514,ENSG00000160710,ENSG00000170581,ENSG00000101347,ENSG00000130813,ENSG00000117228,ENSG00000128383,ENSG00000163840,ENSG00000152778,ENSG00000124256,ENSG00000140464,ENSG00000112343"
GO:BP,,response to cytokine,GO:0034097,1.20E-34,33.92010782,1242,146,65,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000119917,ENSG00000130303,ENSG00000185745,ENSG00000125148,ENSG00000019582,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000204592,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000173193,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000132274,ENSG00000185507,ENSG00000100911,ENSG00000135114,ENSG00000068079,ENSG00000107201,ENSG00000196126,ENSG00000170345,ENSG00000115267,ENSG00000078081,ENSG00000055332,ENSG00000240065,ENSG00000138496,ENSG00000140279,ENSG00000160710,ENSG00000170581,ENSG00000177606,ENSG00000163739,ENSG00000184979,ENSG00000101347,ENSG00000067066,ENSG00000162654,ENSG00000198502,ENSG00000231389,ENSG00000204287,ENSG00000130813,ENSG00000117228,ENSG00000169429,ENSG00000004468,ENSG00000173432,ENSG00000100906,ENSG00000013374,ENSG00000138035,ENSG00000102524,ENSG00000006210,ENSG00000123609,ENSG00000152518,ENSG00000124256,ENSG00000140464,ENSG00000120129,ENSG00000112343"
GO:BP,,response to external stimulus,GO:0009605,2.31E-33,32.63675331,2991,146,91,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000119917,ENSG00000130303,ENSG00000110492,ENSG00000185745,ENSG00000125148,ENSG00000019582,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000137959,ENSG00000204592,ENSG00000176046,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000173193,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000140274,ENSG00000198727,ENSG00000132274,ENSG00000138642,ENSG00000185507,ENSG00000100911,ENSG00000135114,ENSG00000125730,ENSG00000025708,ENSG00000134326,ENSG00000068079,ENSG00000107201,ENSG00000196126,ENSG00000170345,ENSG00000115267,ENSG00000137965,ENSG00000149131,ENSG00000055332,ENSG00000240065,ENSG00000138646,ENSG00000138496,ENSG00000137628,ENSG00000243649,ENSG00000140279,ENSG00000136514,ENSG00000160710,ENSG00000170581,ENSG00000177606,ENSG00000163739,ENSG00000184979,ENSG00000101347,ENSG00000205420,ENSG00000067066,ENSG00000162654,ENSG00000198502,ENSG00000231389,ENSG00000133710,ENSG00000204287,ENSG00000123240,ENSG00000130813,ENSG00000117228,ENSG00000169429,ENSG00000173432,ENSG00000100342,ENSG00000100906,ENSG00000175197,ENSG00000136235,ENSG00000013374,ENSG00000128383,ENSG00000163840,ENSG00000197903,ENSG00000143546,ENSG00000125740,ENSG00000131203,ENSG00000006210,ENSG00000123609,ENSG00000089692,ENSG00000152778,ENSG00000124256,ENSG00000140464,ENSG00000110446,ENSG00000120129,ENSG00000173702,ENSG00000112343"
GO:BP,,response to stress,GO:0006950,1.11E-31,30.95486896,4199,146,103,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000198786,ENSG00000198804,ENSG00000119917,ENSG00000130303,ENSG00000110492,ENSG00000185745,ENSG00000125148,ENSG00000019582,ENSG00000198695,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000137959,ENSG00000204592,ENSG00000176046,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000173193,ENSG00000198888,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000140274,ENSG00000108679,ENSG00000198727,ENSG00000132274,ENSG00000185507,ENSG00000100911,ENSG00000135114,ENSG00000156587,ENSG00000125730,ENSG00000057149,ENSG00000068079,ENSG00000107201,ENSG00000198712,ENSG00000196126,ENSG00000170345,ENSG00000115267,ENSG00000149131,ENSG00000055332,ENSG00000240065,ENSG00000138646,ENSG00000138496,ENSG00000198899,ENSG00000137628,ENSG00000243649,ENSG00000140279,ENSG00000198886,ENSG00000136514,ENSG00000160710,ENSG00000170581,ENSG00000177606,ENSG00000163739,ENSG00000184979,ENSG00000101347,ENSG00000205420,ENSG00000067066,ENSG00000162654,ENSG00000198502,ENSG00000231389,ENSG00000133710,ENSG00000204287,ENSG00000123240,ENSG00000164054,ENSG00000130813,ENSG00000168394,ENSG00000117228,ENSG00000137198,ENSG00000169429,ENSG00000004468,ENSG00000173432,ENSG00000100342,ENSG00000100906,ENSG00000175197,ENSG00000101596,ENSG00000013374,ENSG00000128383,ENSG00000163840,ENSG00000138035,ENSG00000197903,ENSG00000143546,ENSG00000131203,ENSG00000006210,ENSG00000123609,ENSG00000087074,ENSG00000089692,ENSG00000152778,ENSG00000152518,ENSG00000124256,ENSG00000140464,ENSG00000110446,ENSG00000120129,ENSG00000173702,ENSG00000112343"
GO:BP,,cytokine-mediated signaling pathway,GO:0019221,7.52E-31,30.12373351,812,146,52,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000119917,ENSG00000130303,ENSG00000185745,ENSG00000125148,ENSG00000019582,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000204592,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000173193,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000132274,ENSG00000185507,ENSG00000100911,ENSG00000135114,ENSG00000068079,ENSG00000196126,ENSG00000170345,ENSG00000240065,ENSG00000138496,ENSG00000140279,ENSG00000160710,ENSG00000170581,ENSG00000163739,ENSG00000184979,ENSG00000101347,ENSG00000067066,ENSG00000198502,ENSG00000231389,ENSG00000204287,ENSG00000117228,ENSG00000169429,ENSG00000173432,ENSG00000100906,ENSG00000102524,ENSG00000006210,ENSG00000123609,ENSG00000124256,ENSG00000140464,ENSG00000112343"
GO:BP,,immune system process,GO:0002376,9.43E-30,29.02538304,3322,146,91,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000121858,ENSG00000119917,ENSG00000130303,ENSG00000110492,ENSG00000185745,ENSG00000125148,ENSG00000019582,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000137959,ENSG00000204592,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000173193,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000132274,ENSG00000138642,ENSG00000185507,ENSG00000100911,ENSG00000135114,ENSG00000125730,ENSG00000057149,ENSG00000068079,ENSG00000107201,ENSG00000196126,ENSG00000170345,ENSG00000115267,ENSG00000137965,ENSG00000078081,ENSG00000149131,ENSG00000055332,ENSG00000240065,ENSG00000138646,ENSG00000138496,ENSG00000137628,ENSG00000243649,ENSG00000179344,ENSG00000136514,ENSG00000160710,ENSG00000170581,ENSG00000177606,ENSG00000163739,ENSG00000184979,ENSG00000101347,ENSG00000205420,ENSG00000067066,ENSG00000162654,ENSG00000198502,ENSG00000231389,ENSG00000133710,ENSG00000204287,ENSG00000123240,ENSG00000130813,ENSG00000168394,ENSG00000117228,ENSG00000169429,ENSG00000004468,ENSG00000173432,ENSG00000100342,ENSG00000100906,ENSG00000136235,ENSG00000013374,ENSG00000128383,ENSG00000163840,ENSG00000197903,ENSG00000143546,ENSG00000102524,ENSG00000131203,ENSG00000006210,ENSG00000123609,ENSG00000089692,ENSG00000152778,ENSG00000152518,ENSG00000124256,ENSG00000140464,ENSG00000110446,ENSG00000120129,ENSG00000173702,ENSG00000112343"
GO:BP,,cellular response to cytokine stimulus,GO:0071345,1.75E-27,26.75708609,1148,146,56,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000119917,ENSG00000130303,ENSG00000185745,ENSG00000125148,ENSG00000019582,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000204592,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000173193,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000132274,ENSG00000185507,ENSG00000100911,ENSG00000135114,ENSG00000068079,ENSG00000196126,ENSG00000170345,ENSG00000240065,ENSG00000138496,ENSG00000140279,ENSG00000160710,ENSG00000170581,ENSG00000163739,ENSG00000184979,ENSG00000101347,ENSG00000067066,ENSG00000162654,ENSG00000198502,ENSG00000231389,ENSG00000204287,ENSG00000117228,ENSG00000169429,ENSG00000173432,ENSG00000100906,ENSG00000138035,ENSG00000102524,ENSG00000006210,ENSG00000123609,ENSG00000152518,ENSG00000124256,ENSG00000140464,ENSG00000120129,ENSG00000112343"
GO:BP,,regulation of biological process involved in symbiotic interaction,GO:0043903,1.38E-26,25.86050185,238,146,31,18092,"ENSG00000185885,ENSG00000142089,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000130303,ENSG00000185745,ENSG00000019582,ENSG00000089127,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000132274,ENSG00000135114,ENSG00000196126,ENSG00000078081,ENSG00000055332,ENSG00000160710,ENSG00000177606,ENSG00000205420,ENSG00000067066,ENSG00000130813,ENSG00000169429,ENSG00000128383,ENSG00000152778,ENSG00000140464,ENSG00000112343"
GO:BP,,regulation of viral process,GO:0050792,8.09E-26,25.09205131,228,146,30,18092,"ENSG00000185885,ENSG00000142089,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000130303,ENSG00000185745,ENSG00000019582,ENSG00000089127,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000132274,ENSG00000135114,ENSG00000196126,ENSG00000078081,ENSG00000055332,ENSG00000160710,ENSG00000177606,ENSG00000067066,ENSG00000130813,ENSG00000169429,ENSG00000128383,ENSG00000152778,ENSG00000140464,ENSG00000112343"
GO:BP,,regulation of viral life cycle,GO:1903900,1.21E-25,24.91689969,166,146,27,18092,"ENSG00000185885,ENSG00000142089,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000130303,ENSG00000185745,ENSG00000019582,ENSG00000089127,ENSG00000172183,ENSG00000111335,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000132274,ENSG00000135114,ENSG00000196126,ENSG00000078081,ENSG00000055332,ENSG00000160710,ENSG00000130813,ENSG00000169429,ENSG00000128383,ENSG00000152778,ENSG00000140464,ENSG00000112343"
